sig,route,type,frames,frame_share_pct,dominant_reason,period_bucket,min_gap_s,median_gap_s,max_gap_s,lengths_seen,vary_idx,first_start_us,last_start_us,first_data,last_data
AA 1F 15 B5 24 06 02,1F->15,B5,46047,39.210,sync_boundary,~1s,0.227,1.138,16.695,"13,15,17,22,23,24,25,26","8,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,len",603475602,72225657468,AA 1F 15 B5 24 06 02 00 03 00 1B 00 E4 00 06 01 03 1B 00 04 00 88 00,AA 1F 15 B5 24 06 02 00 03 00 22 00 30 00 00 00 00
AA 10 08 B5 10 09 00,10->08,B5,7161,6.098,sync_boundary,~10s,1.326,9.997,26.579,"16,17,21","7,8,10,12,14,15,16,17,18,19,20,len",610481395,72228745235,AA 10 08 B5 10 09 00 00 00 FF FF FF 07 00 00 52 00 01 01 9A 00,AA 10 08 B5 10 09 00 00 3D FF FF FF 06 00 00 26 00 01 01 9A 00
AA 10 76 B5 10 09 00,10->76,B5,7160,6.097,sync_boundary,~10s,1.334,9.997,26.582,"16,17,21","7,8,10,12,14,15,16,17,18,19,20,len",610755135,72229019029,AA 10 76 B5 10 09 00 00 00 FF FF FF 05 00 00 DD 00 01 01 9A 00,AA 10 76 B5 10 09 00 00 00 FF FF FF 05 00 00 DD 00 01 01 9A 00
AA 10 76 B5 11 01 01,10->76,B5,7160,6.097,sync_boundary,~10s,1.298,9.998,26.642,"8,21,22","8,9,10,11,12,13,14,15,16,17,18,19,20,21,len",609875986,72228151968,AA 10 76 B5 11 01 01 16 00 09 FF 3D 40 09 FF 2B 00 01 FF 10 00,AA 10 76 B5 11 01 01 16 00 09 FF 39 70 0C FF 42 00 01 FF D2 00
AA 10 76 B5 12 03 0F,10->76,B5,7160,6.097,sync_boundary,~10s,1.391,9.998,26.645,"10,11,21,22","7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,len",610212630,72228476476,AA 10 76 B5 12 03 0F 02 01 51 00 07 59 01 00 00 80 17 03 A7 00,AA 10 76 B5 12 03 0F 02 01 51 00 07 14 02 00 00 80 16 03 50 00
AA 10 08 B5 11 01 01,10->08,B5,7158,6.095,sync_boundary,~10s,2.882,9.998,22.972,"9,21,22","9,10,11,12,13,14,15,16,17,18,19,20,21,len",609608208,72227882264,AA 10 08 B5 11 01 01 89 00 09 45 3D 40 09 FF 2B 00 00 45 72 00,AA 10 08 B5 11 01 01 89 00 09 39 39 70 0C FF 42 00 00 3A 1A 00
AA 1F 08 B5 1A 04 05,1F->08,B5,5529,4.708,sync_boundary,~2s,0.646,2.047,64.691,"24,25","9,10,16,23,24,len",610014364,72179688070,AA 1F 08 B5 1A 04 05 FF 32 24 BD 00 0A FF 08 35 00 00 00 00 00 00 00 5B 00,AA 1F 08 B5 1A 04 05 FF 32 23 BA 00 0A FF 08 35 00 00 00 00 00 00 00 5B 00
AA 1F 15 B5 24 05 03,1F->15,B5,3244,2.762,sync_boundary,~1s,0.636,0.744,323.246,"22,23","7,9,10,11,17,18,21,22,len",658431219,72233619852,AA 1F 15 B5 24 05 03 01 00 01 00 32 00 07 01 00 21 8D 90 00 00 0A 00,AA 1F 15 B5 24 05 03 03 00 02 00 B8 00 07 01 00 21 00 00 00 00 B4 00
AA 1F 08 B5 11 01 01,1F->08,B5,2806,2.389,sync_boundary,~24s,1.199,24.263,52.269,"20,21,22","10,11,12,13,15,16,18,19,20,21,len",627096497,72226758389,AA 1F 08 B5 11 01 01 40 00 09 45 3D 40 09 FF 2B 00 00 45 72 00,AA 1F 08 B5 11 01 01 40 00 09 39 39 70 0C FF 42 00 00 3A 1A 00
AA 1F 08 B5 11 01 00,1F->08,B5,2752,2.343,sync_boundary,~24s,0.629,24.259,65.774,"9,20,21,22","9,10,11,12,13,14,15,16,17,18,19,20,21,len",625973633,72194673628,AA 1F 08 B5 11 01 00 41 00 09 28 02 17 00 00 00 00 01 00 DD 00,AA 1F 08 B5 11 01 00 41 00 09 D0 01 17 00 00 08 00 01 00 50 00
AA 1F 08 B5 03 02 00,1F->08,B5,2746,2.338,sync_boundary,~24s,20.428,24.258,65.786,"10,19,23","10,11,12,13,14,15,16,17,18,19,20,21,22,len",624843771,72193531110,AA 1F 08 B5 03 02 00 01 6E 00 0A 60 04 FF FF FF FF FF FF FF FF 5B 00,AA 1F 08 B5 03 02 00 01 6E 00 0A 60 04 FF FF FF FF FF FF FF FF 5B 00
AA 10 08 B5 10 03 05,10->08,B5,1194,1.017,sync_boundary,~60s,0.761,59.992,119.983,"11,14","11,12,13,len",620187193,72191430571,AA 10 08 B5 10 03 05 FF 03 9A 00 00 00 00,AA 10 08 B5 10 03 05 FF 03 9A 00 00 00 00
AA 10 08 B5 12 02 00,10->08,B5,1194,1.017,sync_boundary,~60s,1.301,59.994,119.987,"9,10,13","7,8,9,10,11,12,len",620500741,72191677447,AA 10 08 B5 12 02 00 64 AE 00 00 00 00,AA 10 08 B5 12 02 00 64 AE 00 00 00 00
AA 10 08 B5 04 01 00,10->08,B5,1193,1.016,sync_boundary,~60s,56.652,59.994,120.001,22,"18,19,20",617732462,72188637043,AA 10 08 B5 04 01 00 3D 00 0A 00 FF FF FF FF FF FF FF 40 09 7A 00,AA 10 08 B5 04 01 00 3D 00 0A 00 FF FF FF FF FF FF FF 70 0C 29 00
AA 10 08 B5 07 02 09,10->08,B5,1193,1.016,sync_boundary,~60s,51.329,59.993,119.989,"10,15,16","7,8,10,11,12,13,14,15,len",619672616,72190847908,AA 10 08 B5 07 02 09 00 4F 00 02 30 03 79 00,AA 10 08 B5 07 02 09 3C 73 00 02 AC 02 99 00
AA 10 08 B5 11 01 00,10->08,B5,1193,1.016,sync_boundary,~60s,51.331,59.992,119.921,"21,22","10,11,12,13,14,15,16,17,18,19,20,21,len",619919429,72191161483,AA 10 08 B5 11 01 00 88 00 09 28 02 17 00 00 00 00 01 00 DD 00,AA 10 08 B5 11 01 00 88 00 09 D0 01 17 00 00 08 00 01 00 50 00
AA 10 08 B5 12 02 04,10->08,B5,1193,1.016,sync_boundary,~60s,51.331,59.993,119.985,14,"7,8",620735654,72191915358,AA 10 08 B5 12 02 04 FF F4 00 01 01 9A 00,AA 10 08 B5 12 02 04 64 6F 00 01 01 9A 00
AA 10 FE B5 05 02 5C,10->FE,B5,1193,1.016,sync_boundary,~60s,51.329,59.993,119.989,9,-,619459524,72190634836,AA 10 FE B5 05 02 5C 00 E8,AA 10 FE B5 05 02 5C 00 E8
AA 10 FE B5 16 08 00,10->FE,B5,1193,1.016,sync_boundary,~60s,56.166,59.995,120.000,"15,16","7,8,9,10,12,14,15,len",618069864,72188974490,AA 10 FE B5 16 08 00 35 02 23 21 03 06 26 12,AA 10 FE B5 16 08 00 25 55 18 22 03 07 26 E1
AA 10 76 B5 13 03 04,10->76,B5,1192,1.015,sync_boundary,~60s,51.309,59.992,120.044,16,-,620974556,72192154235,AA 10 76 B5 13 03 04 0D 00 BB 00 02 FF FF A8 00,AA 10 76 B5 13 03 04 0D 00 BB 00 02 FF FF A8 00
