sig,route,type,frames,frame_share_pct,dominant_reason,period_bucket,min_gap_s,median_gap_s,max_gap_s,lengths_seen,vary_idx,first_start_us,last_start_us,first_data,last_data
AA 10 FE B5 16 03 01,10->FE,B5,1192,1.015,sync_boundary,~60s,51.313,59.991,119.979,10,"7,8,9",621222425,72192462886,AA 10 FE B5 16 03 01 00 09 D5,AA 10 FE B5 16 03 01 70 0C 4E
AA 10 E0 07 04 00 6A,10->E0,07,692,0.589,idle_timeout,~1s,1.225,1.374,304.385,7,-,602331120,72062564930,AA 10 E0 07 04 00 6A,AA 10 E0 07 04 00 6A
AA 03 E0 07 04 00 89,03->E0,07,689,0.587,idle_timeout,~1s,0.828,1.376,302.261,7,-,602859257,72061801354,AA 03 E0 07 04 00 89,AA 03 E0 07 04 00 89
AA 10 E1 07 04 00 34,10->E1,07,689,0.587,idle_timeout,~1s,0.740,1.293,304.729,7,-,606290064,72065892000,AA 10 E1 07 04 00 34,AA 10 E1 07 04 00 34
AA 03 E1 07 04 00 D7,03->E1,07,595,0.507,idle_timeout,~1s,0.766,1.374,303.324,7,-,606818758,72064385837,AA 03 E1 07 04 00 D7,AA 03 E1 07 04 00 D7
AA 1F,--,,296,0.252,idle_timeout,>60s,1.374,194.440,1391.945,2,-,603385053,72060294020,AA 1F,AA 1F
AA 10 0A 07 04 00 AB,10->0A,07,240,0.204,idle_timeout,~1s,0.246,0.305,906.331,7,-,1109597379,72200650117,AA 10 0A 07 04 00 AB,AA 10 0A 07 04 00 AB
AA 10 18 07 04 00 AD,10->18,07,240,0.204,idle_timeout,~1s,0.246,0.300,902.585,7,-,1097368033,72188390180,AA 10 18 07 04 00 AD,AA 10 18 07 04 00 AD
AA 10 26 07 04 00 FA,10->26,07,240,0.204,idle_timeout,~1s,0.246,0.247,907.982,7,-,1106418785,72197449834,AA 10 26 07 04 00 FA,AA 10 26 07 04 00 FA
AA 10 35 07 04 00 A2,10->35,07,240,0.204,idle_timeout,~1s,0.246,0.298,907.136,7,-,1103397694,72194383961,AA 10 35 07 04 00 A2,AA 10 35 07 04 00 A2
AA 10 38 07 04 00 42,10->38,07,240,0.204,idle_timeout,~1s,0.246,0.298,907.606,7,-,1102162380,72193412441,AA 10 38 07 04 00 42,AA 10 38 07 04 00 42
AA 10 50 07 04 00 B5,10->50,07,240,0.204,idle_timeout,~1s,0.246,0.248,906.429,7,-,1110404688,72201390678,AA 10 50 07 04 00 B5,AA 10 50 07 04 00 B5
AA 10 52 07 04 00 09,10->52,07,240,0.204,idle_timeout,~1s,0.246,0.247,908.154,7,-,1105397497,72196394696,AA 10 52 07 04 00 09,AA 10 52 07 04 00 09
AA 10 75 07 04 00 E7,10->75,07,240,0.204,idle_timeout,~1s,0.246,0.247,908.377,7,-,1104376392,72195389383,AA 10 75 07 04 00 E7,AA 10 75 07 04 00 E7
AA 10 A0 07 04 00 2F,10->A0,07,240,0.204,idle_timeout,~1s,0.246,0.247,907.429,7,-,1112394577,72203415349,AA 10 A0 07 04 00 2F,AA 10 A0 07 04 00 2F
AA 10 EC 07 04 00 D4,10->EC,07,240,0.204,idle_timeout,~1s,0.246,0.247,907.634,7,-,1111382170,72202360214,AA 10 EC 07 04 00 D4,AA 10 EC 07 04 00 D4
AA 10 ED 07 04 00 8A,10->ED,07,240,0.204,idle_timeout,~1s,0.246,0.248,907.769,7,-,1107373460,72198429321,AA 10 ED 07 04 00 8A,AA 10 ED 07 04 00 8A
AA 1F 08 B5 16 08 10,1F->08,B5,232,0.198,sync_boundary,~1s,1.139,1.162,1246.513,"30,31","10,11,14,19,20,21,22,24,25,26,27,28,29,30,len",1545795071,72210882214,AA 1F 08 B5 16 08 10 00 00 FF 83 04 00 00 AF 00 0B 00 00 02 83 04 75 34 78 56 95 4B BB 00,AA 1F 08 B5 16 08 10 00 00 FF 42 03 00 00 5C 00 0B 00 00 01 42 03 76 34 E4 44 95 4C EA 00
AA 00,--,,227,0.193,idle_timeout,>60s,1.383,304.065,912.389,2,-,602282742,72061224732,AA 00,AA 00
AA 10 08 B5 13 02 05,10->08,B5,120,0.102,sync_boundary,>60s,591.388,599.905,605.607,"10,14","10,11,12,13,len",801500115,72192679839,AA 10 08 B5 13 02 05 28 E6 00 01 01 9A 00,AA 10 08 B5 13 02 05 28 E6 00 01 01 9A 00
AA 1F 76 B5 16 08 10,1F->76,B5,117,0.100,sync_boundary,~2s,1.093,1.657,1247.912,"18,19","11,14,18,len",1553827708,72216568110,AA 1F 76 B5 16 08 10 00 00 FF 83 04 00 00 5C 00 00 00 00,AA 1F 76 B5 16 08 10 00 00 FF 83 03 00 00 3E 00 00 00 00
AA 1F 08 B5 16 02 18,1F->08,B5,116,0.099,sync_boundary,~1s,1.072,1.469,1248.901,"10,13","7,8,10,11,12,len",1543603955,72206320965,AA 1F 08 B5 16 02 18 02 41 00 00 00 00,AA 1F 08 B5 16 02 18 01 42 00 00 00 00
AA 10 08 B5 16 08 10,10->08,B5,56,0.048,sync_boundary,~1s,0.525,1.003,4.998,"30,31","7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,len",4068400442,4131972539,AA 10 08 B5 16 08 10 02 FF FF 03 00 21 34 53 00 0B 02 04 FF 03 00 21 34 E8 D5 93 49 F0 00,AA 10 08 B5 16 08 10 00 FF FF 02 00 21 34 6C 00 0B 00 00 FF 02 00 75 34 03 10 D8 4C D4 00
00 00 00,--,,23,0.020,sync_boundary,>60s,125.517,2039.601,10438.577,3,-,2240097110,71830716496,00 00 00,00 00 00
AA 10 08 B5 07 01 0A,10->08,B5,20,0.017,sync_boundary,>60s,3591.801,3599.522,3607.202,15,-,2002255250,70393158348,AA 10 08 B5 07 01 0A 0D 00 03 82 82 02 45 00,AA 10 08 B5 07 01 0A 0D 00 03 82 82 02 45 00
AA 1F 15 B5 24 07 02,1F->15,B5,17,0.014,sync_boundary,>60s,157.892,2128.707,39017.447,20,"12,13",1344621027,63864133338,AA 1F 15 B5 24 07 02 01 03 00 0E 00 03 E3 00 02 00 03 2F 00,AA 1F 15 B5 24 07 02 01 03 00 0E 00 00 E0 00 02 00 03 2F 00
AA 1F 15 B5 24 08 02,1F->15,B5,17,0.014,sync_boundary,>60s,158.735,2128.806,39016.603,21,-,1344174052,63864348277,AA 1F 15 B5 24 08 02 01 03 00 06 00 01 00 AD 00 02 00 03 2F 00,AA 1F 15 B5 24 08 02 01 03 00 06 00 01 00 AD 00 02 00 03 2F 00
AA 1F 15 B5 24 0A 02,1F->15,B5,15,0.013,sync_boundary,>60s,362.601,2434.499,39175.338,23,"14,15,16",1344393020,63562459099,AA 1F 15 B5 24 0A 02 01 03 00 08 00 00 00 A0 40 B5 00 02 00 03 2F 00,AA 1F 15 B5 24 0A 02 01 03 00 08 00 00 00 A0 41 B4 00 02 00 03 2F 00
01 01 9A 00,01->9A,00,5,0.004,sync_boundary,>60s,5968.681,8275.611,9808.908,4,-,26064882495,58393692759,01 01 9A 00,01 01 9A 00
0A 60 04 FF FF FF FF,60->04,FF,2,0.002,sync_boundary,>60s,43202.231,43202.231,43202.231,13,-,17791828824,60994059625,0A 60 04 FF FF FF FF FF FF FF FF 5B 00,0A 60 04 FF FF FF FF FF FF FF FF 5B 00
00 08 00 00 9E 00 FF,08->00,00,1,0.001,sync_boundary,single,,,,12,-,65898612810,65898612810,00 08 00 00 9E 00 FF FF FF 7F E0 00,00 08 00 00 9E 00 FF FF FF 7F E0 00
02 0E 02 5B 00,0E->02,5B,1,0.001,sync_boundary,single,,,,5,-,21556837406,21556837406,02 0E 02 5B 00,02 0E 02 5B 00
02 30 03 79 00,30->03,79,1,0.001,sync_boundary,single,,,,5,-,49693829625,49693829625,02 30 03 79 00,02 30 03 79 00
02 8D 02 66 00,8D->02,66,1,0.001,sync_boundary,single,,,,5,-,42194037390,42194037390,02 8D 02 66 00,02 8D 02 66 00
03 02 10 00 00 00 B4,02->10,00,1,0.001,sync_boundary,single,,,,10,-,19343020859,19343020859,03 02 10 00 00 00 B4 42 52 00,03 02 10 00 00 00 B4 42 52 00
07 4A 03 00 00 80 16,4A->03,00,1,0.001,sync_boundary,single,,,,10,-,51671675596,51671675596,07 4A 03 00 00 80 16 03 CF 00,07 4A 03 00 00 80 16 03 CF 00
07 55 03 00 00 80 16,55->03,00,1,0.001,sync_boundary,single,,,,10,-,45411917609,45411917609,07 55 03 00 00 80 16 03 B0 00,07 55 03 00 00 80 16 03 B0 00
09 29 28 80 0F FF 44,29->28,80,1,0.001,sync_boundary,single,,,,12,-,61049288496,61049288496,09 29 28 80 0F FF 44 00 00 29 94 00,09 29 28 80 0F FF 44 00 00 29 94 00
09 2A 2A 80 0F FF 67,2A->2A,80,1,0.001,sync_boundary,single,,,,12,-,57409766441,57409766441,09 2A 2A 80 0F FF 67 00 00 2B 90 00,09 2A 2A 80 0F FF 67 00 00 2B 90 00
09 2B 2A 50 0F FF 68,2B->2A,50,1,0.001,sync_boundary,single,,,,12,-,56219923543,56219923543,09 2B 2A 50 0F FF 68 00 00 2B FC 00,09 2B 2A 50 0F FF 68 00 00 2B FC 00
09 71 02 17 64 00 09,71->02,17,1,0.001,sync_boundary,single,,,,12,-,7817446492,7817446492,09 71 02 17 64 00 09 00 01 C8 5F 00,09 71 02 17 64 00 09 00 01 C8 5F 00
10 76 B5 12 03 0F 02,76->B5,12,1,0.001,sync_boundary,single,,,,20,-,41792425407,41792425407,10 76 B5 12 03 0F 02 01 51 00 07 58 03 00 00 80 17 03 0B 00,10 76 B5 12 03 0F 02 01 51 00 07 58 03 00 00 80 17 03 0B 00
AA 10 08 B5 16 01 11,10->08,B5,1,0.001,sync_boundary,single,,,,21,-,4063004801,4063004801,AA 10 08 B5 16 01 11 FB 00 09 01 05 06 10 06 34 06 0A 06 5B 00,AA 10 08 B5 16 01 11 FB 00 09 01 05 06 10 06 34 06 0A 06 5B 00
AA 10 76 B5 16 01 11,10->76,B5,1,0.001,sync_boundary,single,,,,12,-,4063983267,4063983267,AA 10 76 B5 16 01 11 64 00 00 00 00,AA 10 76 B5 16 01 11 64 00 00 00 00
AA 10 E0 07 04 01 01,10->E0,07,1,0.001,idle_timeout,single,,,,8,-,27365759114,27365759114,AA 10 E0 07 04 01 01 82,AA 10 E0 07 04 01 01 82
FF FF 5B 00,FF->5B,00,1,0.001,sync_boundary,single,,,,4,-,67464880876,67464880876,FF FF 5B 00,FF FF 5B 00
